13330882;7382392;1040306
733556;1056217
20619262;8247242;6183482;10630452;10711022;20619252;23815374;12104282;24230783;11629722;23772223;23526916;23572184;23909910
10972582;23473184
3697812;1176166
1178561;3743242
5121422;12195932
1275562;16859922
9851302;4596962;5416312;1752361;13484432
1438218;20244122
15937872;16224832;14383902
15070602;21376342;15523502
15074632;16999532
12780672;15225682
23909817;15696122
16637492;16596702
17145432;23840978;17997452;24136269
17199922;17199842
17610622;17973542;21123582;18652292
17905002;21183272
18483622;6858912;24230734;7154122;6858902;17173582
18519322;23821018
24234054;18755392
18816862;18863282
24230230;18960762;24214341
16573452;23712496;19136882
19488942;19488882
23744091;20247532
11749332;20464492
11749052;15522402;23931584;20600832
22720082;20643012
8285102;20685632
20769572;17841542;23643000;5588392;4817342;20874622;23282962;17831902
22833442;20779532
21074242;21074222
21634102;22586292
16434612;22424772
23258762;6525682
23490319;24230827;23695102
23521472;23508457
23524229;23602107
23595321;23595320
24023571;23575353;23599622
23876920;23649549
23669935;23919924
23842367;15220702
23580931;23850907
23880386;24152820;24032378;24020637;24142254;23955665;23778562;23911143;24107105;24019327
23982156;23968496
24201479;24230748
24217933;23848813
24230712;7226762
5254412;3134461
332342;5117352
8226872;3628292
3929882;4817212;18624412
8004692;4327622
14308262;7169472
9431172;809843
9286362;10791882;5755172
9361762;9565212
1026588;1044625
12895732;14997342
12920142;12919932
13956192;23500139
88454;1504781
9325252;15648522
15987532;15981332
6357312;1798261
22261852;22048832;18041762
20641162;20641152
21449772;21449782;21449792
24034987;23503401
24188171;23560821
23604777;23809826
3873472;3931342
